Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/19/2025,"Zelle payment to Jawad US 24809728878",-240.50,QUICKPAY_DEBIT,237.28,,
DEBIT,05/12/2025,"MEIJER STORE #214 PLAINFIELD IL              05/10",-14.59,DEBIT_CARD,477.78,,
DEBIT,05/12/2025,"SQ *MARIOS ITALIAN LEMO Chicago IL           05/09",-6.00,DEBIT_CARD,492.37,,
DEBIT,05/09/2025,"WINGSTOP 651 OAKBROOK TERR IL                05/08",-7.87,DEBIT_CARD,498.37,,
DEBIT,05/09/2025,"WINGSTOP 651 773-498-9100 IL                 05/08",-15.09,DEBIT_CARD,506.24,,
DEBIT,05/09/2025,"Zelle payment to Abdullah Raza JPM99b7qw80y",-1.00,CHASE_TO_PARTNERFI,521.33,,
DEBIT,05/05/2025,"Zelle payment to Abdullah Raza JPM99b71zffu",-13.75,CHASE_TO_PARTNERFI,522.33,,
DEBIT,05/02/2025,"JEWEL OSCO 4500 CHICAGO IL                   05/01",-10.29,DEBIT_CARD,536.08,,
DEBIT,05/01/2025,"Zelle payment to Zaki Ansari 24250864454",-30.00,QUICKPAY_DEBIT,546.37,,
DEBIT,04/30/2025,"DIVVYBI*RIDE SAN FRANCISCO CA                04/29",13.79,DEBIT_CARD,576.37,,
DEBIT,04/29/2025,"Zelle payment to Abdullah Ulhaque 24581346998",-18.50,QUICKPAY_DEBIT,562.58,,
DEBIT,04/29/2025,"DIVVYBI*RIDE LYFT.COM CA                     04/29",-20.89,DEBIT_CARD,581.08,,
DEBIT,04/25/2025,"SPINZER RESTAURANT CHICAGO IL                04/24",-1.65,DEBIT_CARD,601.97,,
DEBIT,04/24/2025,"Zelle payment to Zaki Ansari 24524896995",-175.00,QUICKPAY_DEBIT,603.62,,
DEBIT,04/21/2025,"MEIJER # 214 PLAINFIELD IL                   04/20",-10.16,DEBIT_CARD,778.62,,
DEBIT,04/21/2025,"MEIJER STORE #214 PLAINFIELD IL              04/19",-13.72,DEBIT_CARD,788.78,,
CREDIT,04/16/2025,"Zelle payment from ZAID RAZA 24439654970",90.00,QUICKPAY_CREDIT,802.50,,
CREDIT,04/16/2025,"Zelle payment from SHAFI U ANSARI 24438728362",700.00,QUICKPAY_CREDIT,712.50,,
DEBIT,04/14/2025,"FEVOINC*CHICAGOBULLS 833-338-6090 NY         04/14",-95.00,DEBIT_CARD,12.50,,
DEBIT,04/14/2025,"PAYPAL *FEVO INC CHIC 833-338-6090 NY        04/14",-76.62,DEBIT_CARD,107.50,,
CREDIT,04/14/2025,"Zelle payment from ABDULLAH I ULHAQUE 24404675041",98.00,QUICKPAY_CREDIT,184.12,,
DEBIT,04/07/2025,"Zelle payment to Jawad US 24317219969",-700.00,QUICKPAY_DEBIT,86.12,,
DEBIT,04/07/2025,"MEIJER STORE #214 PLAINFIELD IL              04/04",-15.33,DEBIT_CARD,786.12,,
DEBIT,04/07/2025,"PAYPAL *Ansari Abrar Visa Direct CA          04/04",-80.41,DEBIT_CARD,801.45,,
DEBIT,04/03/2025,"Zelle payment to Abdullah Raza JPM99b3lpcin",-13.75,CHASE_TO_PARTNERFI,881.86,,
DEBIT,04/03/2025,"Zelle payment to Zaki Ansari 24286661693",-32.50,QUICKPAY_DEBIT,895.61,,
CREDIT,04/03/2025,"Zelle payment from SHAFI U ANSARI 24281990873",600.00,QUICKPAY_CREDIT,928.11,,
DEBIT,04/01/2025,"Zelle payment to Zaki Ansari 23896295348",-30.00,QUICKPAY_DEBIT,328.11,,
DEBIT,03/31/2025,"SUDANESE AMERICAN PHY SAPA-USA.ORG TX        03/30",-5.00,DEBIT_CARD,358.11,,
DEBIT,03/31/2025,"Zelle payment to Jawad US 24217634099",-64.00,QUICKPAY_DEBIT,363.11,,
DEBIT,03/31/2025,"ICN MASJID ZEFFY.COM DE                      03/29",-5.85,DEBIT_CARD,427.11,,
DEBIT,03/28/2025,"MUSLIM GLOBAL RELIEF LANCASHIRE              03/28",-5.16,DEBIT_CARD,432.96,,
DEBIT,03/28/2025,"Zelle payment to Jawad US 24201548075",-9.78,QUICKPAY_DEBIT,438.12,,
DEBIT,03/28/2025,"OJALA FOUNDATION OJALAFOUNDATI IL            03/27",-5.00,DEBIT_CARD,447.90,,
DEBIT,03/27/2025,"EDWARD HEALTH VENTURES NAPERVILLE IL         03/26",-20.00,DEBIT_CARD,452.90,,
DEBIT,03/27/2025,"PAYPAL *ICN 630-426-3335 IL                  03/26",-4.62,DEBIT_CARD,472.90,,
DEBIT,03/26/2025,"Zelle payment to Zaki Ansari 24188748228",-175.00,QUICKPAY_DEBIT,477.52,,
DEBIT,03/26/2025,"LaunchGood Inc. Detroit MI                   03/26",-5.00,DEBIT_CARD,652.52,,
DEBIT,03/25/2025,"HDFUND.ORG HDFUND.ORG MI                     03/25",-5.00,DEBIT_CARD,657.52,,
DEBIT,03/25/2025,"MUSLIM GLOBAL RELIEF LANCASHIRE              03/24",-5.16,DEBIT_CARD,662.52,,
DEBIT,03/25/2025,"al.Nord*VPNcom 208-6388607 NY                03/25",81.36,DEBIT_CARD,667.68,,
DEBIT,03/24/2025,"TST*HOMMIES Burbank IL                       03/24",-16.45,DEBIT_CARD,586.32,,
DEBIT,03/24/2025,"SHELL OIL 57445180003 PLAINFIELD IL          03/23",-25.02,DEBIT_CARD,602.77,,
DEBIT,03/24/2025,"MYFUNDACTION BANDAR BARU S                   03/23",-16.50,DEBIT_CARD,627.79,,
DEBIT,03/21/2025,"LaunchGood Inc. 855-9991947 MI               03/21",-4.64,DEBIT_CARD,644.29,,
DEBIT,03/21/2025,"PAYPAL *Ansari Abrar Visa Direct CA          03/20",-4.26,DEBIT_CARD,648.93,,
DEBIT,03/20/2025,"TST*HALAL SMASH BURGER Chicago IL            03/20",-8.27,DEBIT_CARD,653.19,,
DEBIT,03/20/2025,"UIC PARKING SERVICES 312-4135800 IL          03/19",-2.50,DEBIT_CARD,661.46,,
DEBIT,03/17/2025,"PAYPAL *Ansari Abrar Visa Direct CA          03/16",-21.31,DEBIT_CARD,663.96,,
DEBIT,03/17/2025,"MEIJER STORE #214 PLAINFIELD IL              03/14",-18.97,DEBIT_CARD,685.27,,
DEBIT,03/12/2025,"JEWEL OSCO 4500 CHICAGO IL                   03/11",-60.47,DEBIT_CARD,704.24,,
DEBIT,03/05/2025,"Zelle payment to Jawad US 23952788807",-66.47,QUICKPAY_DEBIT,764.71,,
DEBIT,03/03/2025,"Zelle payment to Jawad US 23928825037",-11.49,QUICKPAY_DEBIT,831.18,,
DEBIT,03/03/2025,"TST* MR. BROAST - LOMBA LOMBARD IL           03/03",-6.59,DEBIT_CARD,842.67,,
DEBIT,03/03/2025,"Zelle payment to Jawad US 23918780861",-45.79,QUICKPAY_DEBIT,849.26,,
DEBIT,03/03/2025,"Zelle payment to Abdullah Raza JPM99azxnjpd",-13.75,CHASE_TO_PARTNERFI,895.05,,
DEBIT,03/03/2025,"Zelle payment to Zaki Ansari 23576166694",-30.00,QUICKPAY_DEBIT,908.80,,
DEBIT,03/03/2025,"al.Nord*VPNcom 208-6388607 NY                02/26",-81.36,DEBIT_CARD,938.80,,
